x,y,set,path
2.5595644272150504,-0.9817174267354312,A,1
2.552604549327699,-0.7624666556683298,A,2
2.531752940637451,-0.5440987300731224,A,3
2.4970935632130575,-0.3274929405145818,A,4
2.4487659781345945,-0.11352148205759671,A,5
2.3869647835302534,0.09695405775451937,A,6
2.3119388309983586,0.3030861682089736,A,7
2.223990223569815,0.5040448280500094,A,8
2.123473099245823,0.699020847681554,A,9
2.0107922050091434,0.8872291274881221,A,10
1.8864012670508479,1.0679118191538728,A,11
1.7508011637750869,1.2403413772502976,A,12
1.6045379089385419,1.4038234888048815,A,13
1.448200453045735,1.5576998690543853,A,14
1.282418311853215,1.7013509121252541,A,15
1.1078590315317904,1.8341981859677827,A,16
0.9252255006937062,1.955706761497824,A,17
0.7352531201082804,2.065387366567414,A,18
0.538706841502562,2.162798356091023,A,19
0.3363780873707123,2.2475474903944406,A,20
0.1290815641949472,2.3192935146255076,A,21
-0.08234801808992076,2.3777475328669557,A,22
-0.2970593071787838,2.422674171418309,A,23
-0.5141877364914929,2.4538925265626985,A,24
-0.7328590064773324,2.4712768930022815,A,25
-0.9521926051107301,2.4747572700291096,A,26
-1.171305353402417,2.464319643393273,A,27
-1.3893149616495017,2.4400060417333385,A,28
-1.605343582104706,2.401914367341858,A,29
-1.818521343759412,2.3501980019473847,A,30
-2.027989855007199,2.2850651891003952,A,31
-2.232905660083878,2.2067781956500028,A,32
-2.4324436353661616,2.115652255687926,A,33
-2.6258003118532742,2.012054301212059,A,34
-2.8121971104530337,1.8964014846208248,A,35
-2.9908834770450703,1.7691594989876935,A,36
-3.1611399046973547,1.6308407028795457,A,37
-3.3222808308666796,1.48200205726955,A,38
-3.473657397917044,1.3232428828519076,A,39
-3.6146600658403543,1.155202446788934,A,40
-3.7447210666588946,0.9785573886078329,A,41
-3.8633166906265903,0.7940189956121244,A,42
-3.9699693950233077,0.6023303387787287,A,43
-4.064249727050852,0.40426328067339434,A,44
-4.145778053087799,0.2006153674325808,A,45
-4.214226087340117,-0.007793382673356719,A,46
-4.269318213732179,-0.22012378116430809,A,47
-4.310832595715423,-0.4355208484662443,A,48
-4.33860206952585,-0.6531172566121917,A,49
-4.352514817293484,-0.8720368216658414,A,50
-4.352514817293484,-1.0913980318050216,A,51
-4.33860206952585,-1.3103175968586713,A,52
-4.310832595715423,-1.5279140050046187,A,53
-4.269318213732179,-1.7433110723065535,A,54
-4.214226087340117,-1.9556414707975063,A,55
-4.1457780530878,-2.1640502209034422,A,56
-4.064249727050852,-2.3676981341442573,A,57
-3.969969395023308,-2.5657651922495903,A,58
-3.86331669062659,-2.757453849082987,A,59
-3.744721066658895,-2.9419922420786944,A,60
-3.614660065840354,-3.1186373002597967,A,61
-3.4736573979170444,-3.286677736322769,A,62
-3.322280830866679,-3.4454369107404132,A,63
-3.1611399046973556,-3.5942755563504076,A,64
-2.9908834770450694,-3.7325943524585563,A,65
-2.8121971104530346,-3.8598363380916867,A,66
-2.625800311853272,-3.975489154682922,A,67
-2.4324436353661616,-4.079087109158788,A,68
-2.232905660083878,-4.170213049120865,A,69
-2.0279898550072,-4.248500042571257,A,70
-1.8185213437594108,-4.3136328554182475,A,71
-1.6053435821047053,-4.36534922081272,A,72
-1.3893149616495017,-4.4034408952042,A,73
-1.1713053534024178,-4.427754496864135,A,74
-0.9521926051107287,-4.438192123499972,A,75
-0.7328590064773317,-4.434711746473144,A,76
-0.5141877364914936,-4.41732738003356,A,77
-0.29705930717878537,-4.386109024889172,A,78
-0.0823480180899201,-4.3411823863378185,A,79
0.1290815641949472,-4.28272836809637,A,80
0.3363780873707116,-4.210982343865304,A,81
0.5387068415025633,-4.126233209561885,A,82
0.7352531201082808,-4.0288222200382755,A,83
0.9252255006937062,-3.9191416149686864,A,84
1.10785903153179,-3.7976330394386455,A,85
1.282418311853216,-3.6647857655961156,A,86
1.448200453045735,-3.521134722525247,A,87
1.6045379089385419,-3.367258342275744,A,88
1.7508011637750864,-3.2037762307211612,A,89
1.8864012670508479,-3.0313466726247342,A,90
2.0107922050091434,-2.850663980958984,A,91
2.123473099245823,-2.6624557011524166,A,92
2.2239902235698144,-2.4674796815208726,A,93
2.311938830998359,-2.266521021679835,A,94
2.3869647835302534,-2.0603889112253815,A,95
2.4487659781345945,-1.8499133714132663,A,96
2.497093563213058,-1.6359419129562789,A,97
2.531752940637451,-1.4193361233977393,A,98
2.552604549327699,-1.2009681978025326,A,99
2.5595644272150504,-0.981717426735432,A,100
4.336624276067488,-0.9817174267354312,B,1
4.3322474355738,-0.8438377586420114,B,2
4.319134538084626,-0.706513283308234,B,3
4.297338384610039,-0.5702969579284505,B,4
4.266946740567265,-0.43573727756826175,B,5
4.228081982380324,-0.3033760665684778,B,6
4.180900604713358,-0.17374629680972986,B,7
4.125592590321861,-0.04736994162281716,B,8
4.062380645059167,0.07524412601366981,B,9
3.9915193011185877,0.19360218252522987,B,10
3.9132938921221014,0.3072276417920299,B,11
3.828019404182566,0.415662974193,B,12
3.736039207565816,0.5184715489161367,B,13
3.6377236740597887,0.6152393921166752,B,14
3.5334686856180584,0.7055768538436544,B,15
3.423694040282931,0.7891201770227443,B,16
3.3088417618068946,0.8655329621775978,B,17
3.189374319778976,0.9345075219918126,B,18
3.0657727674229323,0.9957661202571579,B,19
2.9385348045657036,1.0490620902192602,B,20
2.80817277357587,1.0941808278175618,B,21
2.675211596341761,1.1309406558201323,B,22
2.540186660596279,1.1591935553737573,B,23
2.403641664099461,1.1788257620236195,B,24
