"section","x","y","path"
"A_only",-13.9931264664851,-9.35648295709651,1
"A_only",-14.9438909029895,-8.62693574575609,2
"A_only",-15.8551707989472,-7.84862918756747,3
"A_only",-16.7244683995057,-7.02369656670722,4
"A_only",-17.5494010203659,-6.15439896614875,5
"A_only",-18.3277075785545,-5.24311907019107,6
"A_only",-19.057254789895,-4.29235463368669,7
"A_only",-19.7360430161911,-3.30471163586925,8
"A_only",-20.3622117460967,-2.28289713754555,9
"A_only",-20.9340446946475,-1.22971186123004,10
"A_only",-21.4499745074791,-0.148042514559084,11
"A_only",-21.9085870568365,0.959146121974014,12
"A_only",-22.3086253175996,2.08881932127623,13
"A_only",-22.648992812702,3.23788072763092,14
"A_only",-22.9287566184982,4.40318084359354,15
"A_only",-23.1471499218427,5.58152566254524,16
"A_only",-23.3035741218714,6.76968542324305,17
"A_only",-23.397600470725,7.96440346237084,18
"A_only",-23.4289712487168,9.1624051408272,19
"A_only",-23.397600470725,10.3604068192836,20
"A_only",-23.381187377769,10.5696447917869,21
"A_only",-23.5033513088885,10.4944667155459,22
"A_only",-24.5010975055972,9.8087347530308,23
"A_only",-25.461587887835,9.07172456104552,24
"A_only",-26.382189818227,8.28545623329731,25
"A_only",-27.2603799908723,7.4520848766197,26
"A_only",-28.0937513475499,6.5738947039744,27
"A_only",-28.8800196752981,5.65329277358239,28
"A_only",-29.6170298672834,4.6928023913446,29
"A_only",-30.3027618297984,3.6950561946359,30
"A_only",-30.9353360191987,2.66278893642896,31
"A_only",-31.5130185936007,1.59882998952652,32
"A_only",-32.0342261652222,0.506095591447158,33
"A_only",-32.4975301403381,-0.612419148779027,34
"A_only",-32.9016606349565,-1.75364845999609,35
"A_only",-33.2455099554823,-2.91446431198785,36
"A_only",-33.5281356348288,-4.09168498919132,37
"A_only",-33.7487630156538,-5.2820838115579,38
"A_only",-33.9067873736422,-6.48239797865908,39
"A_only",-34.0017755750129,-7.68933751279567,40
"A_only",-34.0334672637084,-8.8995942765979,41
"A_only",-34.0017755750129,-10.1098510404001,42
"A_only",-33.9067873736422,-11.3167905745367,43
"A_only",-33.7487630156538,-12.5171047416379,44
"A_only",-33.5281356348287,-13.7075035640045,45
"A_only",-33.2455099554823,-14.884724241208,46
"A_only",-32.9016606349564,-16.0455400931997,47
"A_only",-32.497530140338,-17.1867694044168,48
"A_only",-32.0342261652221,-18.305284144643,49
"A_only",-31.5130185936006,-19.3980185427223,50
"A_only",-30.9353360191986,-20.4619774896247,51
"A_only",-30.3027618297984,-21.4942447478317,52
"A_only",-29.6170298672833,-22.4919909445404,53
"A_only",-28.880019675298,-23.4524813267782,54
"A_only",-28.0937513475498,-24.3730832571702,55
"A_only",-27.2603799908722,-25.2512734298155,56
"A_only",-26.3821898182269,-26.0846447864931,57
"A_only",-25.4615878878349,-26.8709131142413,58
"A_only",-24.5010975055971,-27.6079233062265,59
"A_only",-23.5033513088884,-28.2936552687416,60
"A_only",-22.4710840506815,-28.9262294581419,61
"A_only",-21.407125103779,-29.5039120325438,62
"A_only",-20.3143907056997,-30.0251196041653,63
"A_only",-19.1958759654735,-30.4884235792813,64
"A_only",-18.0546466542564,-30.8925540738996,65
"A_only",-16.8938308022647,-31.2364033944255,66
"A_only",-15.7166101250612,-31.519029073772,67
"A_only",-14.5262113026946,-31.739656454597,68
"A_only",-13.3258971355934,-31.8976808125854,69
"A_only",-12.1189576014569,-31.9926690139561,70
"A_only",-10.9087008376546,-32.0243607026515,71
"A_only",-9.69844407385237,-31.9926690139561,72
"A_only",-8.49150453971579,-31.8976808125854,73
"A_only",-7.29119037261461,-31.739656454597,74
"A_only",-6.10079155024803,-31.5190290737719,75
"A_only",-4.92357087304456,-31.2364033944255,76
"A_only",-3.7627550210528,-30.8925540738996,77
"A_only",-2.62152570983575,-30.4884235792812,78
"A_only",-1.50301096960956,-30.0251196041653,79
"A_only",-1.39906239787938,-29.9761581066143,80
"A_only",-1.93741300974718,-29.6818028851137,81
"A_only",-3.00862608699779,-29.0253626671088,82
"A_only",-4.04401567742997,-28.3137591168704,83
"A_only",-5.04074385014539,-27.5489426902669,84
"A_only",-5.99607864250437,-26.7330096959619,85
"A_only",-6.90740154824555,-25.8681965495778,86
"A_only",-7.77221469462957,-24.9568736438367,87
"A_only",-8.58814768893462,-24.0015388514777,88
"A_only",-9.35296411553811,-23.0048106787623,89
"A_only",-10.0645676657765,-21.9694210883301,90
"A_only",-10.7210078837815,-20.8982080110795,91
"A_only",-11.3204855125441,-19.7941075675961,92
"A_only",-11.8613574255532,-18.6601460204504,93
"A_only",-12.3421411304906,-17.4994314794224,94
"A_only",-12.7615188326401,-16.3151453823888,95
"A_only",-13.1183410468706,-15.1105337752229,96
"A_only",-13.4116297482953,-13.8888984146084,97
"A_only",-13.6405810529699,-12.6535877181539,98
"A_only",-13.8045674212825,-11.4079875866129,99
"A_only",-13.903139377996,-10.1555121233655,100
"A_only",-13.9228215994687,-9.404984820985,101
"A_only",-13.9931264664851,-9.35648295709651,102
"B_only",22.3522378647743,9.16240514082727,1
"B_only",22.3208670867825,7.96440346237091,2
"B_only",22.226840737929,6.76968542324312,3
"B_only",22.0704165379003,5.58152566254532,4
"B_only",21.8520232345557,4.40318084359361,5
"B_only",21.5722594287595,3.23788072763099,6
"B_only",21.2318919336571,2.0888193212763,7
"B_only",20.831853672894,0.959146121974076,8
"B_only",20.3732411235367,-0.148042514559012,9
"B_only",19.857311310705,-1.22971186122997,10
"B_only",19.2854783621542,-2.28289713754548,11
"B_only",18.6593096322487,-3.30471163586919,12
